Year,Component,Name_indicator,Indicator,Cluster type,Cluster id,Cluster,Target_year,Expected end year,End_year_achieved,Expected narrative,Achieved narrative,Cluster Link
2024,KS,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",IPI 1.1,Country,102076,Senegal,3,16,20,"Decision Support Tools:
1.	WENDOU: Water ENvironment Dashboard for Observation in support of Users in Ferlo [D25951].
2.	ANCAR App: Available in English and French, with over 120+ user accounts [Link].
3.	iSAT Advisory: Disseminated in Kaolack with an upgraded validation process involving farmer organization RESOPP [D25945].

Knowledge Products:
4.	Vulnerability Assessment [D25813].
5.	KAP Scores: Knowledge, Attitudes, and Practices in agro-pastoralist communities [D26491].
6.	Factors Influencing CSA Adoption: Socio-economic and institutional aspects [D26431].
7.	Women Empowerment Index [D26483].
8.	Adaptation Strategies: For smallholder farmers in dryland systems [D26430].
9.	Population Participation: In development project implementation [D25943].
10.	Pearl Millet Production: Improving production in Senegal’s semi-arid zone through participatory research [D26490].
11.	Climate Smart Livestock Practices: KAP towards these practices among pastoralists and agro-pastoralists [D26491].
12.	CSA Options Bundle: Impacts on sorghum farming production [D26492].

Training Materials:
13.	AICCRA Innovations: Translated into knowledge products with a GSI module [D26405].
14.	CoP Knowledge: Utilizing knowledge developed by the community of practice [D26306].
15.	Climate Information Services for Livestock: Training material [D26309].
16.	Cashew Accelerator Program: Planned and led by Theme2 [D26292].","AICCRA generated 20 products shared with a large community which addressed: i-Decision Support tool (DST) comprising: Advisories derived from 1) WENDOU: Water ENvironment Dashboard for Observation in support of Users [D25951], from 2) iSAT with upgraded validation process involving farmer organizations [D25945] and from 3) CoP mainstreamed to the Pastoral Comity[D26781], 4) Agdatahub App: Available in English and French, with over 120+ user accounts and user experience tested[D25948], 5) Livestock Price forecasting tool[D26403]
ii-Knowledge Products comprising: 6) Vulnerability Assessment[D25813], CIS for (agro)pastoralists affecting 7) Knowledge, Attitudes, and Practices[D26491] and 8) use of (agro)advisories [D26774]; Adoption studies with 9) CSA use[D26764], 10), the gross margin gained [D25804], 11) factors influencing adoption [D26431] and 12) Women Empowerment in adoption[D26483]; 13) Assessment of adaptation strategies [D26430]; the design and outcome of a participatory research: 14) Productivity out of R4D[D26490] and 15) Feedbacks of stakeholders[D25943], 16) CIS/CSA bundling concept [D26492] and 17) iSAT case study presented at the COP29[D26768]

iii-Training Materials comprising experiences of AICCRA Innovations translated into knowledge products: 18) AgData Hub [D25976], 19) Climate Information Services for Livestock: Training material [D26309], 20) New gender and social inclusion (GESI) content integrated within the CRMAE (Climate Risk Management for Agricultural Extension) [D26307]",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=32997&edit=true&phaseID=425
2024,KS,(2024-2025) IPI 1.2: Regional Hub for Fertilizers and Soil Health established,IPI 1.2,Country,102076,Senegal,0,0,0,N/A,NA,https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33018&edit=true&phaseID=425
2024,KS,(2024-2025) IPI 1.4: Appropriate fertilizer nutrient requirements developed for specific crop and soil combinations within prioritized target areas (Hectares)​,IPI 1.4,Country,102076,Senegal,0,0,0,"In 2024, AICCRA interventions are reinforced across four regions (Daga Birame, Thiel, Meouane and Kaolack) to promote climate-smart innovations using a participatory approach that would facilitate rapid adoption on a large scale by farmers. These innovations have proven to increase yield production and the quality of seed produced for the target crops. On integrated soil fertility management (ISFM) using micro-dosing techniques deployed in farmers' demos plots, fertilization strategies influenced both the grain and Stover yields produced by improved millet [D26430]. There was an estimated 3ha in demo plots.  
Agroadvisories on fertilizer applications using iSAT on millet, cowpea and groundnut crops are disseminated to +1,818 farmers [D25945]. Database of farmers reached in 2024: https://cgiar.sharepoint.com/:x:/r/sites/AICCRA/Clusters%20Sections/03.%20Senegal/2024/MidyearReporting/BASE_AICCRA_GLOBAL_2024-2.xlsx?d=w86d25809b180430da024443e457ec040&csf=1&web=1&e=s1g94O  
On average individual farmers own 2ha for farming (2024 Farmer profile database here: https://cgiar.sharepoint.com/:x:/r/sites/AICCRA/Clusters%20Sections/03.%20Senegal/2024/MidyearReporting/Profilage030724.xlsx?d=w7437118fa33749f9a62a35ee853d31c6&csf=1&web=1&e=eF13JR). Therefore, 3, 842 ha are currently in potential for receiving adequate good practices for production. This account for 103 individuals who have capacity building on microdosing techniques [D25818]",NA,https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=40719&edit=true&phaseID=425
2024,PD,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",IPI 2.1,Country,102076,Senegal,1,1,1,"-	AgDataHub Operations: AgDataHub is a dynamic platform offering real-time information with monthly seasonal forecasts and weekly intra-seasonal forecasts. Access the platform here: (http://3.138.167/gtp/).

-	 Engagement: In the second quarter, AgDataHub was introduced to the Ministry of Agriculture, Livestock, and Food Security's technical advisers [D26498], and to experts in the Livestock Community of Practice [D26486]. Users explored its decision-making functionalities and provided feedback for improvement.","[OICR3565] In 2024, AgData Hubs achieved key milestones including migration of the platform to ANACIM’s server and integration with GTP portal. The Hub has been institutionalized and embedded within the GTP framework (Multidisciplinary Working Group) of ANACIM and complemented the GTPs functioning and role in generation and provisioning of context specific CIS. Through the Hubs, GTPs can avail Agromet Decision Support as well as automation of the climate services. In 2024, it provided seasonal forecasts for short- and medium-term climate projections to generate CIS for strategic decision support. Further, the Hub through APIs enabled climate and weather data access to ANCAR’s agro-advisories system and paved the way for a frictionless collaboration between ANACIM and ANCAR.

Further, the platform was adapted and enhanced to respond to user-demand through 1) trainings with GTP members including technicians from ANACIM and managers of Rural Development services (ANCAR and others) on the functionalities for better decision-making in the agro-sylvo-pastoral development sectors in Senegal [D25948]; 2)  Agdata Hub was introduced to the Ministry of Agriculture, Livestock, and Food Security's technical advisers [D26498], and to experts in the Livestock Community of Practice [D26486]. 
The platform hosted on ANACIM servers can be accessed here: (http://3.138.167.184/gtp/).",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33060&edit=true&phaseID=425
2024,PD,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,IPI 2.3,Country,102076,Senegal,206,206,618,"1-A training module on ""climate change adaptation solutions for food security in Senegal"" was developed based on AICCRA's innovations that were designed, tested, piloted and scaled up. This module was deployed into professional training programs as a seminar to 30 young scholars [D26405]. 

2-CIS/CSA training programs involved 103 people including lead farmers and other farmers representatives, ANCAR extension agents, field assistants across 5 interventions sites. The global objective of those trainings were (1) reviewing and sharing the experience of the 2023 on-farm participatory demonstration; (2) awareness-building on the importance and objectives of innovative trials and demonstrations across the villages; (3) building synergy among the field-level workers including ANCAR, CERAAS and locally trained supervisors; and (4) presenting roles and uses and benefits of climate-based advisories through ISAT platform for their decision making [D25818].

3-Agdatahub platform owned by GTP have been exposed to 32 experts of the Ministry of Agriculture, Livestock and Food Security. Agdatahub platform was fostered to provide 2024 seasonal forecasts for short-term and medium terms climate projections to generate CIS for strategic decision support [D25805].","1-A training module on ""climate change adaptation solutions for food security in Senegal"" was deployed into professional training programs as a seminar to 30 young scholars [D26405].

2-CIS/CSA demonstration training programs involved 103 people including lead farmers and other farmers representatives, ANCAR extension agents, field assistants across 5 interventions sites. [D25818].

3-The AgData Hub platform owned by GTP has been shown to 32 experts of the Ministry of Agriculture, Livestock and Food Security [D25805] and 149 GTP users were introduced to the platform to report on agriculture data and generate climate information services [D26780].

5- 284 people were beneficiaries of trainings on the seed value chain associated with good practices in crop production and on safe practices in dairies allowing the bundling of services combining access to inputs, training, climate information services and the market [D26780].

4-[OICR3696] Successful integration of Climate Risk Management in Agricultural Extension (CRMAE) to agricultural educational programs was stepped in with a ToT involving 20 people incl. trainers and ministry of agriculture agents. A trainer guide was readily available to teachers in this design curriculum [D26308].",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33102&edit=true&phaseID=425
2024,CSA,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),IPI 3.1,Country,102076,Senegal,3,3,3,"(1) CSA technology:  Sunugaal variety (short cycle groundnut variety) is newly introduced in large farm demonstrations of ¼ ha  adopted for showcasing this variety [D25945].  This variety is catalogued in CORAF MITA : https://mita.coraf.org/index.php?p=technologies-details&title=RawGaduetSunugaal&token=qhax7dfj85rumgplt93sziw012oby6&lang=fr. The variety solves issues related to low yields due to reduced soil fertility and rainfall variation

(2) Bundle CIS+CSA:  Millet varieties (Souna3, SL23, Thialack)  are selected within strategical advisories disseminated in iSAT [D25945]. This choice was based on i. agronomical  results of 2 years through  demonstrations across all intervention sites showing that the grain yield of millet exceeded 1000 kg ha−1, which is higher than the national average millet production in Senegal (917 kg ha−1) [D25818, D26490], ii-  modelling results that highlights combining improved millet variety and implementing early sowing could be an effective adaptation strategy and iii-Farmer's positive insightful positive experience [D25975]. 

(3) Bundle CIS+CSA+market information:  A comprehensive scheme for CIS + CSA is newly introduced to respond access to animal feed or market of herders. The bundle is being disseminated though farmers multi-stakeholder platforms for B-to-B information sharing among peer's farmers, radio programs, listening clubs' radios and voice messaging provided by Jokalante services","(1) CSA technology: Sunugaal variety (short cycle groundnut variety) is newly introduced in large farm demonstrations of ¼ ha adopted for showcasing this variety [a. https://hdl.handle.net/10568/168710; b. https://hdl.handle.net/10568/149254] This variety is catalogued in CORAF MITA: https://mita.coraf.org/index.php?p=technologies-details&title=RawGaduetSunugaal&token=qhax7dfj85rumgplt93sziw012oby6&lang=fr. The variety solves issues related to low yields due to reduced soil fertility and rainfall variation.

(2) Bundle CIS+CSA: Millet varieties (Souna3, SL23, Thialack) validated by AICCRA participatory trials in 20022/2023 [D25975] and climate impact crop modelling studies [D26430, D26490] are selected within strategical messages disseminated with iSAT [D25945] climate agro-advisories made available in IVR and radio programs. 

(3) Bundle CIS+CSA+market information: A comprehensive scheme for CIS + CSA is newly introduced to respond access to animal feed and animal health [D26766,D25950]. This is made available to+ 78k (agro)pastoralists through radio programs [https://hdl.handle.net/10568/168710] and listening clubs' radios where B-to-B knowledge sharing among peer's farmers occur[D26779]. Specific bundle services including climate information are being disseminated directly to +1,900(agro)pastors through voice messaging provided by JOKALANTE services. Among them are those practicing fodder crops production [D25944, D26401] and those who are engaged in dairy industry [https://www.anacim.sn/spip.php?article1244]",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33186&edit=true&phaseID=425
2024,CSA,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,IPI 3.2,Country,102076,Senegal,4,4,5,"1- Gender-Sensitive Seed Production: Cooperatives bolstered by the strategic partnerships with Agriculture Departments (ANCAR), have enhanced access trainings, and knowledge for men and women farmers in seed value chain. A concept note is developed to understand the mode of organization of those cooperatives, their impacts on production assets owned by women and youth [D25816]. 

2--	Agroadvisories for Women: Agroadvisories in IVR using female voice are disseminated and replicated 2 times to overcome cultural obstacles for woman in accessing to digital tool and ensure that the schedule of listening's is consistent with the timetable availability of women and other vulnerable groups helping to close the knowledge gap in accessing CIS  [D25951]. 

3- Engaging women in radio programming: Women managed listening clubs to respond to the information needs of female and male farmers and facilitate more access to radio listening and participation by female farmers [D26484]. 

4--	Crop Residues for Goat Feeding: Training programs in Dahra help women reuse crop residues for goat feeding and develop income-generating skills.","1- Gender-Sensitive Seed Production: Cooperatives managed by women bolstered by the strategic partnerships with Agriculture Departments (ANCAR) and Farmer organizations [RESOPP, ADID] enhanced the access to land, trainings, knowledge and leadership for men and women farmers in seed value chain [D25816,D26777,D26772]

2- Agroadvisories for Women: Agroadvisories in IVR using female voice were disseminated and replicated 2 times to overcome cultural obstacles for married women on use of mobile phone helping to close the gender gap in their access to CIS with digitals [D25951].

3- The radio programming focusing on best of time for women availability and customization of the radio programs content aligned with the intensification of the radio networks led to reach more 213,026 women (9,280 more listeners than men): https://hdl.handle.net/10568/168710)

4- Engaging women: Women managed listening clubs help for more participation in decision making process and the planning of radio program [D26484, D26779].

5- Women farmers were introduced to goat feeding program through a training on climate-resilient solutions, including growing drought-resistant fodder grass: *Pennisetum purpureum* and the hygiene practices to improve milk production quality for sale or consumption. These interventions address challenges such as fodder scarcity during the dry season, ensuring livestock productivity and enhanced family incomes [D26778]",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33207&edit=true&phaseID=425
2024,CSA,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",IPI 3.3,Country,102076,Senegal,40,40,70,"Commitment of the cluster is maintained in the globally designed survey to be addressed to the partners for assessing expectations agreement of stakeholders. The targeted innovations are: 
1) Agdatahub 
2) ANCAR app 
3) GTP app 
4) CRMAE 
5) COP advisories for livestock keepers 
6) iSAT
7) AICCRA Radio programs 
8) Forage crops","The Senegal Cluster submitted the following 5 innovations to the globally designed survey to be addressed to the 33 partners for assessing expectations agreement of stakeholders: 
- AgData Hub & Apps
- CRMAE (Curriculum on Climate Risk Management for Agent of Extension)
- Climate Smart Agriculture Best Practices Training Programs
- iSAT
- Community of Practice (CoP) advisories",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33228&edit=true&phaseID=425
2024,CSA,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),IPI 3.4,Country,102076,Senegal,1,2,4,"-	Public Consultation (in 2023) and progress reporting (2024):  Feedbacks on public consultation held with higher education stakeholders to integrate CRMAE into training programs.
-	UADB Integration: From 2025, UADB will include CRMAE in its undergraduate and master’s programs. The course will be part of Semester 6 for undergraduates and Semester 1 for master’s students. (https://cgiar.sharepoint.com/:u:/r/sites/AICCRA/Clusters%20Sections/03.%20Senegal/2024/MidyearReporting/Document%20formation.msg?csf=1&web=1&e=nImkOc)
-	UAM Integration: UAM will integrate CRMAE into its Semester 7 engineering program starting in 2025, with a mandatory seminar on Climate Risk Management. (https://cgiar.sharepoint.com/:b:/r/sites/AICCRA/Clusters%20Sections/03.%20Senegal/2024/MidyearReporting/Maq%20Ing%20Lead,%20Inno%20et%20Conseil%20Agro.pdf?csf=1&web=1&e=4FSfia","Under [OICR3696], as reported Q3 of 2023, the collaboration between ILRI and IRI has targeted to develop the roadmap to scale the Climate Risk Management for Agricultural Extension (CRMAE). Therefore, a public consultation held with higher education stakeholders guided the process of embedment of CRMAE into training programs and several proposals were put forward. From that discussions new programs emerged with:
(1) the CRMAE integration into UADB (University of Bambey) in Bachelor (semester6) and Master Programs (semester1) from 2025: https://hdl.handle.net/10568/168710
(2) the CRMAE integration into Ministry of Agriculture education Program in 2025 after the support of AICCRA with a ToT involving 20 people including trainers. A decision was officially shared to integrate CRMAE into agricultural education system' networks at national scale with the buying of high-level authority representative [https://cgiar.sharepoint.com/:b:/r/sites/AICCRA/Clusters%20Sections/03.%20Senegal/2024/EndYear%20Reporting/CamScanner%2020-11-2024%2013.54.pdf?csf=1&web=1&e=OEvObe]
(3)  Another outstanding example with the Université du Sine-Saloum El Hadji Ibrahima Niass (USSEIN), which launched four new certificates on CRMAE in October 2024 in Kaolack with the support of US State Grant. 
Under [OICR3692], it is reported (4) an investment decision from the Ministry of Agriculture, Livestock and Food Security (MAESA) for the integration of CoP information services into the national pastoral alert system in Senegal [D26765].",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=33249&edit=true&phaseID=425
2024,PDO,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,PDO Indicator 1,Country,102076,Senegal,1,7,14,"The Community of Practice (CoP) i evolving as a lever for breaking down barriers between institutional services intended for agro-pastoralists [D26400,OICR3638]. Constant engagement of participating stakeholders of CoP was translated into (1) the refining of climate information by improving seasonal forecasts flow through the use of Agdatahub by ANACIM  [D26486,D25976], (2) Integration of the CSE-developed WENDOU (Water ENvironment Dashboard for Observation in support of Users in Ferlo) owned by CSE  in advisories disseminated to AICCRA beneficiaries/partners  [D25951], and (3) frameworks for bundling CIS with  institutional mandates of KSDE and ADID; therefore, schemes have been initiated to bundle Climate information + forage crops production market information+ service for milk production [D25950, D25944]. 3 Radios (PinalFM, JabuJulaFM & FerloFM) are newly part of the COP and disseminating programs while benefiting from expertise of COP members [D25947].  Female voice in IVR derived from COP deal with cultural & locally specific constraints obstacles to women participation [D25951]. The CoP impulses CRMAE curriculum adaptation for Livestock Production Systems [D26306] and COP experiences are used to build knowledge product deployed to 15 scholars [D26309]. 
Partnership agreements were almost fully executed and 4 partners (ANACIM, URAC, KSDE, ADID) developed their workplans aligned with AF phase [D26499].","[OICR3692&3693&3565]: A Community of Practice (CoP) including 14 institutions (JOKALANTE, ANACIM, ANCAR, ISRA, DIREL, APAFIL, ADID, KSDE, RESOPP, CSE, AVSF, JabuJula FM, Ferlo FM, Pinal FM) is enabling (agro)pastoralists to access CIS/CSA [D26774,D26400,D26499].  The CoP is an established multi-stakeholder platform designed to gather expertise and promote knowledge-sharing. Its members work together to find innovative, relevant and effective solutions for agro-pastoralists, using appropriate communication channels (IVR by JOKALANTE and 3 rural radios) reaching +78k herders in 3 regions: Linguere, Dagana and Ranerou [D26780,D26486,D25947]. The CoP made use of Decision Support Tools (data interoperability, AgData Hub [D25976,D26486], WENDOU (Water ENvironment Dashboard for Observation) owned by CSE [D25951]), livestock price forecast tool [D26403], indigenous knowledge and scientific & practical expertise of its members (ISRA, ANCAR, AVSF, DIREL)[D26770]. This allows producers organizations (RESOPP, ADID, APAFIL) and private organization (KSDE) to offer bundle services of CIS-CSA to their members [D25944,D25950]. Recognizing the positive outcomes of the CoP to respond to the needs of pastoral communities who are currently adopting advisories, the Ministry of Agriculture and Livestock (DIREL) decided to integrate the CoP function into the pastoralist committee [D26765,D26769,D26781]. Moreover, the CoP is promoting climate-resilient (agro)pastoral systems at the interface of research, education, and practice [D26306,D26309].",https://aiccra.marlo.cgiar.org/projects/AICCRA/contributionCrp.do?projectOutcomeID=32913&edit=true&phaseID=425
