acronym,Indicator,partner_name,Outcomes
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),90
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Livestock Research Institute,83
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),45
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),International Livestock Research Institute,40
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,International Livestock Research Institute,40
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA EA ILRI,36
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),35
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Gender and Social Inclusion Leader (Lead by ILRI),31
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,International Livestock Research Institute,31
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Columbia University,29
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,International Livestock Research Institute,28
